,Country,"Under-five_mortality_rate_2019,both","Under-five mortality rate 2019, male","Under-five mortality rate 2019, Female",Infant mortality rate 2019,Neonatal mortality rate 2019,"Mortality rate among children aged 5–14 years, 2019",Annual rate of reduction in under-five mortality rate	,Annual rate of reduction in stillbirth rate,Under five deaths 2019,Deaths among children aged 5–14 years 2019,country_code
0,Montenegro,2,2,2,2,1,1,9.5,2.0,17,7,MNE
1,Cyprus,2,2,2,2,1,1,5.5,2.9,29,12,CYP
2,Slovenia,2,2,2,2,1,1,5.1,1.8,42,15,SVN
3,San Marino,2,2,2,1,1,1,6.7,3.2,0,0,SMR
4,Iceland,2,2,2,2,1,0,3.8,1.8,8,2,ISL
5,Estonia,2,3,2,2,1,1,8.0,4.0,33,16,EST
6,Italy,3,3,3,3,2,1,3.0,0.9,"1,432",480,ITA
7,Monaco,3,3,3,3,2,1,2.7,2.3,2,0,MCO
8,Andorra,3,3,3,3,1,1,5.0,2.8,2,0,AND
9,Republic of Korea,3,3,3,3,2,1,4.5,3.1,"1,200",355,PRK
10,Japan,2,3,2,2,1,1,3.2,2.7,"2,343",828,JPN
11,Finland,2,3,2,2,1,1,3.1,1.4,122,44,FIN
12,Sweden,3,3,2,2,1,1,2.5,2.2,305,83,SWE
13,Spain,3,3,3,3,2,1,2.9,2.0,"1,221",340,ESP
14,Singapore,3,3,2,2,1,1,2.2,2.1,128,32,SGP
15,Norway,2,3,2,2,1,1,3.6,2.1,145,42,NOR
16,Luxembourg,3,3,2,2,1,0,2.8,0.4,18,2,LUX
17,Lithuania,4,4,3,3,2,1,5.7,2.6,106,37,LTU
18,Latvia,4,4,3,3,2,1,7.2,3.2,74,28,LVA
19,Belarus,3,4,3,2,1,1,7.2,4.8,360,131,BLR
20,Hungary,4,4,3,3,2,1,5.4,1.4,335,91,HUN
21,Greece,4,4,3,3,2,1,2.8,2.0,302,91,GRC
22,Israel,4,4,3,3,2,1,3.3,2.1,624,132,ISR
23,Czechia,3,4,3,3,2,1,2.9,0.4,350,96,CZE
24,Belgium,3,4,3,3,2,1,2.8,0.9,424,107,BEL
25,Germany,4,4,3,3,2,1,1.8,0.4,"2,959",601,DEU
26,Australia,4,4,3,3,2,1,2.8,1.9,"1,146",253,AUS
27,Portugal,4,4,3,3,2,1,3.5,2.5,295,74,PRT
28,Austria,3,4,3,3,2,1,2.4,1.3,306,65,AUT
29,Netherlands,4,4,4,3,3,1,2.2,4.2,696,129,NLD
30,Switzerland,4,4,4,4,3,1,1.8,1.1,353,56,CHE
31,Ireland,3,4,3,3,2,1,4.1,2.9,203,44,IRL
32,Denmark,4,4,3,3,3,1,2.2,2.3,232,38,DNK
33,Croatia,5,5,4,4,3,1,2.9,2.9,176,44,HRV
34,Poland,4,5,4,4,3,1,4.0,3.2,"1,624",391,POL
35,New Zealand,5,5,4,4,3,1,2.3,1.6,283,60,NZL
36,Canada,5,5,4,4,3,1,1.3,0.8,"1,873",355,CAN
37,United Kingdom,4,5,4,4,3,1,2.2,2.0,"3,313",613,GBR
38,France,4,5,4,4,3,1,1.0,0.7,"3,251",588,FRA
39,Cuba,5,6,5,4,2,2,2.8,2.4,591,246,CUB
40,Russian Federation,6,6,5,5,3,2,6.4,3.0,"10,556","3,291",RUS
41,Slovakia,6,6,5,5,3,1,2.8,1.9,325,71,SVK
42,Bosnia and Herzegovina,6,6,5,5,4,1,2.8,1.9,158,42,BIH
43,Serbia,5,6,5,5,3,1,4.6,0.9,441,113,SRB
44,Bahrain,7,7,7,6,3,2,3.1,1.9,151,35,BHR
45,Saudi Arabia,7,7,6,6,4,2,6.3,3.2,"3,964",963,SAU
46,Bulgaria,7,7,6,6,3,2,5.0,2.2,422,121,BGR
47,Antigua and Barbuda,7,7,6,6,4,2,4.5,2.5,10,2,ATG
48,Qatar,7,7,6,6,3,1,3.4,0.8,172,34,QAT
49,United States,6,7,6,6,4,1,1.4,0.5,"25,352","5,705",USA
50,North Macedonia,6,7,6,5,4,1,5.0,5.1,137,30,MKD
51,Cook Islands,8,8,7,7,4,2,4.5,3.2,2,0,COK
52,United Arab Emirates,7,8,7,6,4,2,2.1,2.8,750,178,ARE
53,China,8,8,7,7,4,2,8.1,5.3,"132,256","32,278",CHN
54,Lebanon,7,8,7,6,4,2,5.3,2.8,839,216,LBN
55,Maldives,8,8,7,7,5,2,8.6,4.5,54,13,MDV
56,Sri Lanka,7,8,6,6,4,2,4.4,3.0,"2,378",571,LKA
57,Romania,7,8,6,6,3,2,5.9,3.9,"1,317",343,ROU
58,Uruguay,7,8,6,6,4,2,4.6,2.3,337,77,URY
59,Chile,7,8,6,6,5,1,2.3,1.6,"1,612",353,CHL
60,Malta,7,8,6,6,5,1,0.4,1.3,30,3,MLT
61,Malaysia,9,9,8,7,5,3,0.9,-0.6,"4,513","1,297",MYS
62,Kuwait,8,9,7,7,5,2,2.3,1.0,448,113,KWT
63,Ukraine,8,9,8,7,5,2,4.1,2.1,"3,514",823,UKR
64,Costa Rica,9,9,8,8,6,2,2.2,0.4,599,121,CRI
65,Thailand,9,10,8,8,5,4,4.7,3.2,"6,444","3,408",THA
66,Albania,10,10,9,9,8,2,5.4,2.3,327,66,ALB
67,Argentina,9,10,8,8,6,2,4.0,2.0,"6,977","1,337",ARG
68,Georgia,10,11,8,9,5,2,7.0,5.1,513,126,GEO
69,Turkey,10,11,9,9,5,2,7.1,5.3,"13,149","2,623",TUR
70,Kazakhstan,10,12,9,9,5,3,7.3,3.8,"3,976",936,KAZ
71,Libya,12,13,10,10,6,4,4.7,2.4,"1,448",524,LBY
72,Belize,12,13,11,11,8,3,3.4,2.9,98,21,BLZ
73,Oman,11,13,10,10,5,3,1.9,1.9,"1,034",169,OMN
74,Bahamas,13,13,12,11,7,3,1.3,0.4,68,15,BHS
75,Brunei Darussalam,11,13,10,10,6,2,-0.5,0.5,73,16,BRN
76,Armenia,12,13,11,11,6,2,5.0,2.5,482,79,ARM
77,Peru,13,14,12,10,6,3,5.6,3.5,"7,563","1,536",PER
78,Barbados,13,14,11,12,8,2,0.9,0.7,39,6,BRB
79,Iran,14,15,13,12,9,3,4.7,2.7,"21,248","4,452",IRN
80,El Salvador,13,15,12,11,7,3,4.7,3.6,"1,552",372,SLV
81,Jamaica,14,15,12,12,10,3,2.4,2.1,652,125,JAM
82,Seychelles,14,15,13,12,9,3,-0.2,-0.3,23,4,SYC
83,Mexico,14,15,13,12,9,3,3.6,1.8,"31,368","5,662",MEX
84,Colombia,14,15,12,12,7,2,3.1,1.6,"10,091","1,907",COL
85,Tonga,17,15,18,14,7,2,0.4,0.5,42,6,TON
86,Saint Vincent and the Grenadines,15,16,13,13,9,5,2.2,-0.6,23,8,VCT
87,Samoa,15,16,14,13,8,4,1.7,1.1,72,17,WSM
88,Ecuador,14,16,12,12,7,3,3.8,3.1,"4,696","1,038",ECU
89,Panama,15,16,13,13,9,3,2.9,2.1,"1,175",223,PAN
90,Republic of Moldova,14,16,13,12,11,3,4.1,2.8,584,117,MDA
91,Brazil,14,16,12,12,8,2,4.8,1.5,"40,429","7,046",BRA
92,Cabo Verde,15,16,13,13,9,2,5.0,1.9,157,20,CPV
93,Jordan,16,17,14,13,9,3,2.9,1.7,"3,355",789,JOR
94,Saint Kitts and Nevis,15,17,14,13,10,3,2.3,1.9,11,2,KNA
95,Grenada,17,18,15,15,11,4,-0.3,0.2,30,6,GRD
96,Mongolia,16,18,14,13,8,3,7.5,4.4,"1,183",209,MNG
97,Tunisia,17,18,15,14,12,3,3.0,2.3,"3,398",587,TUN
98,Mauritius,16,18,14,14,10,2,0.8,1.0,206,28,MUS
99,Honduras,17,19,15,14,9,4,4.2,2.6,"3,480",902,HND
100,Palau,17,19,15,16,9,4,2.7,1.7,4,1,PLW
101,Democratic People's Republic of Korea,17,19,15,13,10,4,6.5,2.5,"6,116","1,330",PRK
102,Nicaragua,17,19,15,14,10,3,4.4,1.8,"2,212",430,NIC
103,Trinidad and Tobago,18,19,16,16,12,2,2.5,1.4,312,45,TTO
104,Uzbekistan,17,20,15,16,10,4,6.7,2.8,"12,045","2,283",UZB
105,Kyrgyzstan,18,20,16,16,12,3,5.3,2.4,"2,824",386,KGZ
106,Suriname,18,20,16,16,11,3,2.9,1.3,191,30,SUR
107,Solomon Islands,20,21,18,17,8,4,2.3,1.4,416,73,SLB
108,Egypt,20,21,19,17,11,4,4.4,3.5,"52,291","9,155",EGY
109,State of Palestine,19,21,18,17,11,3,2.3,1.9,"2,771",373,PSE
110,Paraguay,19,21,17,17,11,3,2.9,2.5,"2,774",381,PRY
111,Azerbaijan,20,22,18,18,11,3,6.8,4.0,"3,370",463,AZE
112,Syrian Arab Republic,22,23,19,18,11,10,0.4,0.8,"9,195","3,495",SYR
113,Morocco,21,23,19,18,14,3,4.4,2.1,"14,511","1,695",MAR
114,Viet Nam,20,23,17,16,10,3,2.1,2.8,"31,689","3,632",VNM
115,Saint Lucia,22,24,20,20,13,3,-1.0,1.0,48,7,LCA
116,Algeria,23,25,22,20,16,3,2.8,3.1,"23,598","2,725",DZA
117,Indonesia,24,26,21,20,12,5,4.1,2.5,"114,994","24,340",IDN
118,Tuvalu,24,26,22,20,16,5,2.9,1.1,7,2,TUV
119,Niue,23,26,21,20,13,5,0.1,0.9,1,0,NIU
120,Venezuela ,24,26,22,21,15,3,-0.6,0.2,"12,620","1,862",VEN
121,Guatemala,25,27,22,21,12,4,3.9,2.3,"10,364","1,429",GTM
122,Vanuatu,26,28,24,22,11,5,0.5,0.5,224,41,VUT
123,Fiji,26,28,23,22,11,5,-0.7,0.9,482,81,FJI
124,Bolivia,26,28,23,21,15,4,5.6,2.9,"6,399",966,BOL
125,Iraq,26,28,23,22,15,4,2.8,1.8,"28,801","3,645",IRQ
126,Cambodia,27,30,23,23,14,5,7.3,3.8,"9,647","1,630",KHM
127,Philippines,27,30,24,22,13,4,1.7,1.6,"59,751","8,952",PHL
128,Bhutan,28,31,26,24,17,7,5.2,2.8,369,94,BTN
129,Dominican Republic,28,31,25,23,19,3,2.0,1.6,"5,768",558,DOM
130,Micronesia,29,32,26,25,16,6,3.1,1.4,75,14,FSM
131,Bangladesh,31,33,29,26,19,7,5.4,2.8,"89,796","20,650",BGD
132,Sao Tome and Principe,30,33,27,23,14,6,5.4,1.5,198,36,STP
133,Nepal,31,33,28,26,20,5,5.1,3.0,"17,296","3,016",NPL
134,Guyana,29,33,25,24,19,5,2.4,1.4,453,71,GUY
135,Nauru,31,34,28,26,20,6,1.6,0.7,9,2,NRU
136,India,34,34,35,28,22,5,5.2,4.0,"824,448","135,877",IND
137,Marshall Islands,32,35,28,26,15,6,1.3,0.5,44,9,MHL
138,Rwanda,34,37,31,26,16,9,8.7,2.8,"13,310","3,031",RWA
139,South Africa,34,37,31,28,11,5,3.8,1.2,"40,631","6,106",ZAF
140,Tajikistan,34,38,30,30,15,1,4.8,2.2,"9,377",303,TJK
141,Dominica,35,39,34,31,28,3,-3.8,-0.9,33,3,DMA
142,Botswana,42,45,38,32,18,6,2.7,-1.3,"2,320",298,BWA
143,Malawi,42,46,37,31,20,12,7.5,1.6,"25,712","6,394",MWI
144,Namibia,42,46,39,31,19,11,3.0,0.9,"2,954",660,NAM
145,Eritrea,40,46,35,30,18,7,3.9,1.3,"4,247",724,ERI
146,Gabon,42,47,38,31,20,12,3.6,1.3,"2,807",602,GAB
147,Kenya,43,47,39,32,21,10,4.3,0.7,"63,623","13,556",KEN
148,Papua New Guinea,45,48,41,36,22,8,2.4,1.0,"10,393","1,710",PNG
149,Timor-Leste,44,48,40,38,20,8,4.7,2.4,"1,645",257,TLS
150,Turkmenistan,42,48,36,36,24,4,2.7,0.9,"5,793",426,TKM
151,Senegal,45,49,41,33,22,10,5.5,1.3,"24,651","4,629",SEN
152,Myanmar,45,49,40,36,22,5,3.6,1.8,"41,896","4,506",MMR
153,Lao People's Democratic Republic,46,50,41,36,22,8,4.5,2.0,"7,520","1,243",LAO
154,Uganda,46,51,41,33,20,14,6.1,1.4,"74,053","18,308",UGA
155,Ghana,46,51,41,34,23,11,4.0,1.5,"40,168","7,824",GHA
156,Congo,48,52,44,35,19,8,4.6,1.6,"8,204","1,136",COG
157,Eswatini,49,54,45,39,18,13,4.2,0.9,"1,468",393,SWZ
158,United Republic of Tanzania,50,54,47,36,20,11,5.0,1.6,"103,222","18,812",TZA
159,Madagascar,51,55,46,36,20,18,3.9,1.1,"43,110","12,710",MDG
160,Kiribati,51,55,46,40,22,9,1.8,0.9,164,26,KIR
161,Ethiopia,51,56,45,37,28,11,5.4,2.0,"177,849","30,817",ETH
162,Gambia,52,56,47,36,27,10,4.1,1.1,"4,504",665,GMB
163,Zimbabwe,55,59,50,38,26,12,2.8,1.9,"24,166","4,765",ZWE
164,Burundi,56,61,52,40,21,21,5.3,0.8,"24,412","7,016",BDI
165,Djibouti,57,62,52,48,31,13,3.0,1.2,"1,173",240,DJI
166,Yemen,58,62,54,44,27,13,2.6,0.6,"50,312","9,287",YEM
167,Sudan,58,63,53,41,27,8,3.0,1.4,"78,028","9,105",SDN
168,Afghanistan,60,64,57,47,36,4,4.0,1.4,"72,186","4,545",AFG
169,Zambia,62,66,57,42,23,11,4.8,1.8,"38,460","5,648",ZMB
170,Haiti,63,68,57,48,25,11,2.6,1.0,"16,890","2,665",HTI
171,Comoros,63,68,58,48,30,8,2.5,1.1,"1,656",184,COM
172,Togo,67,72,61,46,25,13,3.0,1.3,"17,331","2,744",TGO
173,Pakistan,67,72,63,56,41,8,2.5,1.4,"399,418","40,623",PAK
174,Mozambique,74,79,70,55,29,15,4.4,1.3,"81,507","12,993",MOZ
175,Mauritania,73,79,67,50,32,7,2.3,1.6,"10,699",850,MRT
176,Angola,75,80,69,50,28,16,5.3,2.2,"92,690","15,544",AGO
177,Cameroon,75,81,69,50,26,23,3.4,1.1,"66,071","16,065",CMR
178,Niger,80,84,76,47,24,30,5.4,1.8,"81,635","21,527",NER
179,Guinea-Bissau,78,85,72,52,35,16,4.2,1.7,"5,111",826,GNB
180,Côte d'Ivoire,79,87,71,59,33,25,3.1,1.4,"70,330","16,849",CIV
181,Equatorial Guinea,82,88,76,60,29,16,3.4,0.9,"3,519",510,GNQ
182," Congo, Democratic Republic of the Congo",85,91,78,66,27,22,3.3,1.1,"290,859","55,184",COD
183,Liberia,85,91,78,62,32,16,4.2,1.1,"13,365","2,011",LBR
184,Burkina Faso,88,92,83,54,26,17,3.8,2.2,"64,744","10,131",BFA
185,Lesotho,86,93,79,68,43,9,1.1,1.3,"4,831",380,LSO
186,Benin,90,96,84,59,31,20,2.3,1.5,"37,100","6,259",BEN
187,Mali,94,99,88,60,32,22,3.6,1.9,"73,632","13,132",MLI
188,South Sudan,96,101,91,62,39,21,3.3,0.9,"36,916","6,273",SSD
189,Guinea,99,105,93,64,30,19,2.7,1.1,"44,114","6,729",GIN
190,Sierra Leone,109,115,103,81,31,22,3.9,1.9,"27,580","4,485",SLE
191,Central African Republic,110,116,104,81,40,14,2.3,0.7,"18,095","1,945",CAF
192,Chad,114,120,107,69,33,26,2.6,1.2,"73,024","12,116",TCD
193,Somalia,117,123,111,74,37,25,2.0,0.6,"72,126","11,566",SOM
194,Nigeria,117,124,110,74,36,21,2.3,1.1,"857,899","119,243",NGA
195,Anguilla,,,,,,,,,,,AIA
196,British Virgin Islands,,,,,,,,,,,VGB
197,Holy See,,,,,,,,,,,VAT
198,Liechtenstein,,,,,,,,,,,LIE
199,Montserrat,,,,,,,,,,,MSR
200,Tokelau,,,,,,,,,,,TKL
201,Turks and Caicos Islands,,,,,,-,,,,,TCA
